Avg_1,수원시,성남시,안양시,부천시,광명시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,의왕시,하남시,용인시,김포시
64.75625,63.4,67.8,60.5,68.1,53.0,66.8,69.5,63.4,58.9,70.2,67.8,64.5,59.7,62.6,68.8,71.1
64.425,63.3,67.2,60.2,67.7,52.9,66.6,69.0,63.1,58.3,69.9,67.2,64.5,59.1,62.4,68.5,70.9
64.225,63.2,66.9,60.0,67.4,52.6,66.3,68.6,63.2,58.0,69.7,67.1,64.4,58.7,62.3,68.4,70.8
64.3,63.3,67.1,59.8,67.4,52.6,66.3,68.1,64.5,58.1,69.6,67.0,64.8,58.6,62.5,68.4,70.7
64.49375,63.4,67.5,59.6,67.6,52.9,66.6,68.1,64.8,58.3,69.7,67.2,65.0,58.8,62.9,68.5,71.0
64.55,63.5,67.9,59.5,67.6,53.0,66.8,68.0,64.6,58.4,69.6,67.3,65.2,59.1,62.8,68.7,70.8
64.36875,63.4,67.7,59.5,67.5,53.1,66.7,67.9,64.3,58.3,69.4,67.3,64.7,58.7,62.7,68.5,70.2
64.175,63.2,67.4,59.4,67.2,52.9,66.5,67.9,64.0,58.2,69.2,67.1,64.5,58.6,62.5,68.4,69.8
64.275,63.2,67.4,59.5,67.2,53.1,66.6,68.1,64.0,58.2,69.1,67.3,65.1,58.8,62.7,68.2,69.9
64.7125,63.4,67.5,59.8,67.8,53.1,66.9,68.5,64.5,58.6,69.3,67.7,65.8,59.3,63.6,68.3,71.3
64.89375,63.6,67.5,60.1,68.1,53.7,67.1,68.6,64.6,58.8,69.3,67.8,66.2,59.7,63.7,68.2,71.3
65.08125,63.8,67.7,60.3,68.4,54.0,67.3,68.9,65.0,58.9,69.4,68.1,66.3,60.1,63.5,68.3,71.3
65.2875,64.0,67.6,60.5,68.7,54.5,67.7,69.2,65.3,58.9,69.5,68.2,66.1,60.2,63.8,68.5,71.9
65.625,64.1,67.9,60.8,68.9,54.7,68.1,69.5,65.7,59.3,69.7,68.6,66.3,61.0,64.1,68.6,72.7
66.05,64.4,68.3,61.2,69.2,55.3,68.5,69.9,66.8,59.5,70.0,69.0,66.7,61.3,64.3,68.9,73.5
66.0375,64.4,68.3,61.4,69.2,55.4,68.3,70.0,67.2,59.7,70.1,68.8,66.3,61.4,64.4,68.7,73.0
66.0125,64.3,68.3,61.5,69.3,55.4,68.3,69.9,67.1,59.8,70.0,68.7,66.0,61.7,64.4,68.6,72.9
65.98125,64.5,68.3,61.5,69.4,55.4,68.3,69.8,66.9,59.8,69.9,68.6,65.7,61.7,64.4,68.6,72.9
65.95625,64.5,68.3,61.6,69.5,55.3,68.3,69.8,66.9,59.7,69.8,68.6,65.7,61.7,64.4,68.6,72.6
66.0875,64.8,68.5,61.6,69.6,55.5,68.4,70.1,67.1,59.8,69.8,68.7,65.8,62.1,64.5,68.7,72.4
66.525,65.5,68.8,62.2,69.8,56.0,69.4,70.4,67.6,59.9,70.0,69.3,66.4,62.5,64.8,68.9,72.9
66.85625,65.8,69.2,62.4,70.0,57.0,69.7,70.9,67.8,60.1,70.1,69.5,66.6,62.9,65.4,69.1,73.2
67.05,66.1,69.4,62.7,70.1,57.4,70.0,71.2,67.8,60.3,70.1,69.7,66.7,63.2,65.6,69.2,73.3
67.2,66.5,69.6,62.9,70.2,57.6,70.3,71.4,67.8,60.4,70.2,69.8,66.9,63.3,65.6,69.3,73.4
67.33125,66.8,69.7,63.0,70.2,57.9,70.5,71.6,67.8,60.5,70.2,70.0,67.1,63.3,65.7,69.5,73.5
67.63125,67.2,69.9,63.4,70.3,58.5,70.9,72.1,67.9,60.6,70.3,70.2,67.5,63.6,65.9,69.7,74.1
68.10625,67.6,70.1,64.0,70.5,59.3,71.8,72.6,67.9,60.9,70.5,70.8,68.3,63.9,66.6,69.9,75.0
