Avg_2,평택시,동두천시,이천시,안성시,포천시,여주시
93.9,92.6,92.6,89.2,92.6,93.6,102.8
93.66666667,92.5,90.9,89.4,92.8,93.6,102.8
93.55,92.4,90.1,89.7,92.8,93.6,102.7
93.76666667,92.4,90.0,90.1,93.5,93.9,102.7
94.11666667,92.4,89.8,90.4,93.8,94.7,103.6
94.3,92.6,89.6,90.6,94.1,95.1,103.8
94.23333333,92.5,89.3,90.7,94.3,94.7,103.9
94.08333333,92.3,89.0,90.8,94.4,94.2,103.8
94.08333333,92.3,88.9,91.0,94.7,93.8,103.8
94.43333333,92.4,89.0,91.5,95.3,94.1,104.3
94.75,92.4,89.0,91.7,96.1,94.6,104.7
94.96666667,92.6,89.0,92.1,96.7,94.6,104.8
95.33333333,92.7,89.1,93.2,97.9,94.2,104.9
95.65,93.0,89.1,93.6,98.4,94.6,105.2
96.13333333,93.1,89.5,94.0,98.8,95.1,106.3
96.06666667,93.0,89.5,94.1,98.8,95.0,106.0
96.01666667,93.1,89.2,94.0,99.0,94.8,106.0
95.98333333,93.1,89.1,94.2,99.0,94.7,105.8
95.93333333,93.1,88.9,94.4,99.0,94.5,105.7
96.01666667,93.5,88.7,94.6,99.1,94.5,105.7
96.26666667,93.8,88.8,94.9,99.5,94.8,105.8
96.48333333,94.2,89.0,95.0,99.7,95.1,105.9
96.68333333,94.6,89.1,95.3,99.9,95.3,105.9
96.9,94.9,89.3,95.6,100.4,95.4,105.8
97.13333333,95.2,89.2,95.8,100.7,95.5,106.4
97.38333333,95.4,89.3,96.3,101.2,95.6,106.5
97.56666667,95.5,89.3,96.8,101.3,95.9,106.6
98,95.8,89.7,97.6,101.7,96.5,106.7
98.26666667,96.2,89.8,98.2,101.8,96.8,106.8
98.55,96.6,89.9,98.8,101.8,97.2,107.0
98.81666667,96.9,89.8,99.2,102.0,97.8,107.2
99.05,97.2,89.8,99.5,102.6,97.9,107.3
99.4,97.4,89.8,100.1,103.3,98.4,107.4
99.71666667,97.6,89.8,100.6,104.0,98.6,107.7
100.0333333,98.0,89.9,101.0,104.5,98.9,107.9
100.2,98.2,90.0,101.3,104.7,98.9,108.1
100.25,98.2,90.0,101.5,104.8,98.8,108.2
100.2666667,98.3,90.0,101.6,104.8,98.7,108.2
100.25,98.3,90.0,101.7,104.7,98.6,108.2
100.3333333,98.2,90.1,101.9,104.7,98.6,108.5
100.4666667,98.2,90.3,102.2,104.5,98.7,108.9
100.5666667,98.2,90.4,102.2,104.5,99.0,109.1
100.65,98.2,90.6,102.3,104.5,99.1,109.2
100.75,98.2,90.8,102.3,104.6,99.2,109.4
100.8666667,98.3,90.9,102.5,104.6,99.3,109.6
101.0333333,98.5,91.1,102.7,104.6,99.5,109.8
101.2833333,98.6,91.5,103.1,104.5,99.9,110.1
101.35,98.7,91.6,103.2,104.4,100.0,110.2
101.35,98.7,91.7,103.1,104.4,100.0,110.2
101.3833333,98.8,91.7,103.2,104.4,100.0,110.2
101.4166667,98.8,91.7,103.3,104.3,100.0,110.4
101.5333333,98.9,91.9,103.4,104.3,100.2,110.5
101.7166667,99.1,92.3,103.4,104.2,100.6,110.7
101.7666667,99.0,92.6,103.4,104.0,100.8,110.8
101.8666667,99.0,92.9,103.3,104.0,101.0,111.0
101.85,98.9,93.1,103.2,103.8,101.1,111.0
101.8333333,98.8,93.2,103.2,103.6,101.2,111.0
101.8666667,98.8,93.3,103.3,103.5,101.2,111.1
101.7833333,98.6,93.5,103.1,103.4,101.4,110.7
101.65,98.1,93.6,103.0,103.1,101.3,110.8
101.4833333,97.7,93.6,102.9,102.9,101.2,110.6
101.1833333,97.4,93.5,103.0,101.9,101.0,110.3
100.9666667,97.1,93.5,103.0,101.1,100.8,110.3
100.6833333,96.7,93.5,102.9,100.2,100.5,110.3
100.1833333,96.2,93.3,102.6,99.0,99.7,110.3
99.71666667,95.1,93.2,102.5,98.0,99.5,110.0
99.3,93.9,93.1,102.5,97.1,99.3,109.9
98.98333333,93.2,92.9,102.4,96.7,99.1,109.6
98.7,92.4,92.9,102.2,96.6,98.8,109.3
98.33333333,91.6,92.5,101.9,96.3,98.6,109.1
97.83333333,90.9,92.4,101.7,95.5,97.8,108.7
97.4,90.6,92.3,101.3,94.6,97.5,108.1
96.96666667,90.4,92.2,100.9,94.2,97.4,106.7
96.75,90.2,92.1,100.4,94.0,97.3,106.5
96.4,89.9,92.0,99.7,93.8,97.1,105.9
95.8,88.9,91.9,98.7,93.3,97.0,105.0
95.23333333,88.0,91.8,98.1,92.9,96.7,103.9
94.8,87.2,91.8,97.5,92.3,96.6,103.4
94.3,86.2,91.5,97.2,91.8,96.1,103.0
93.85,85.6,91.2,96.9,90.8,96.0,102.6
93.45,85.2,90.8,96.7,90.2,95.7,102.1
93.21666667,84.9,90.6,96.6,89.9,95.6,101.7
92.93333333,84.6,90.3,96.3,89.6,95.6,101.2
92.7,84.2,90.2,96.1,89.6,95.4,100.7
92.38333333,83.9,90.1,95.5,89.6,95.1,100.1
92.06666667,83.7,89.7,95.3,89.3,94.8,99.6
92.06666667,84.4,89.6,95.2,89.4,94.6,99.2
92.01666667,85.1,89.4,95.0,89.3,94.3,99.0
91.95,85.5,89.2,94.9,89.3,94.0,98.8
92.03333333,86.3,88.9,94.8,89.2,94.2,98.8
92.3,87.5,88.9,94.9,89.5,94.3,98.7
92.38333333,88.0,89.0,94.9,89.5,94.3,98.6
92.43333333,88.1,89.0,95.1,89.6,94.3,98.5
92.48333333,88.2,89.0,95.2,89.8,94.4,98.3
92.53333333,88.4,88.9,95.3,90.0,94.5,98.1
92.71666667,88.7,89.0,95.4,90.6,94.6,98.0
93.28333333,89.3,90.2,95.6,91.6,94.8,98.2
94.28333333,90.2,92.6,96.2,92.7,95.4,98.6
95.23333333,91.6,94.4,96.7,93.9,96.0,98.8
96.26666667,93.4,95.8,97.3,95.3,96.9,98.9
97.35,95.2,97.2,98.5,96.2,97.9,99.1
100,100.0,100.0,100.0,100.0,100.0,100.0
102.1666667,103.0,102.0,101.6,103.7,101.6,101.1
104.5,106.2,104.5,103.3,106.9,103.7,102.4
106.6166667,108.8,106.4,105.3,109.9,105.8,103.5
108.65,111.7,107.3,107.8,112.6,107.3,105.2
110.1666667,113.2,107.7,110.3,114.8,108.4,106.6
111.0333333,114.1,107.5,112.3,116.1,109.0,107.2
111.3833333,114.3,107.5,113.3,116.9,109.2,107.1
111.55,114.3,107.4,114.2,117.0,109.3,107.1
