Avg_3,의정부시,오산시,파주시,화성시,광주시,양주시
80.1,77.7,83.2,82.3,73.0,82.4,82.0
79.8,77.4,83.0,81.9,72.9,82.0,81.7
79.6,76.9,82.9,81.6,72.8,81.9,81.4
79.5,76.4,82.9,80.6,73.2,82.3,81.7
79.6,76.4,82.9,80.7,73.6,82.3,81.9
79.5,76.2,82.4,80.3,73.7,82.2,82.1
79.1,75.5,82.1,80.0,73.4,81.9,81.4
78.8,75.2,81.9,80.0,73.2,81.6,81.0
78.8,75.1,81.7,80.4,73.2,81.4,81.0
79.0,75.2,81.8,80.7,73.6,81.5,81.3
79.1,75.1,81.8,81.0,73.8,81.5,81.4
79.0,75.0,81.9,81.0,73.9,81.0,81.3
79.2,75.1,81.9,81.4,74.2,81.2,81.3
79.3,75.2,82.0,82.0,74.3,80.8,81.2
79.4,75.2,82.3,82.5,74.5,80.8,81.3
79.3,75.1,82.3,82.3,74.7,80.3,81.1
79.1,75.0,82.2,81.7,74.7,80.0,81.0
79.1,75.0,82.3,81.6,74.8,79.9,80.8
79.0,74.9,82.3,81.3,74.8,79.9,80.6
78.9,74.9,82.4,81.1,74.9,79.8,80.5
79.2,75.0,82.9,81.6,75.5,79.9,80.5
79.4,75.1,83.2,81.9,75.6,79.9,80.6
79.6,75.3,83.4,82.0,75.9,80.2,80.7
79.6,75.4,83.3,82.0,75.9,80.2,80.8
79.7,75.5,83.4,82.0,76.1,80.3,80.9
79.9,75.6,83.9,82.3,76.3,80.5,80.9
80.2,75.7,84.1,82.6,76.6,81.0,81.2
80.6,76.2,84.3,83.1,77.0,81.4,81.4
80.8,76.5,84.6,83.3,77.2,81.8,81.6
81.2,77.0,84.7,83.8,77.4,82.1,81.9
81.4,77.4,84.8,84.1,77.5,82.5,82.1
81.7,77.8,84.8,84.5,77.6,82.8,82.5
82.0,78.3,84.9,85.2,77.7,83.1,82.9
82.4,78.7,85.1,85.9,77.8,83.4,83.4
82.8,79.1,85.3,86.6,78.0,83.8,83.9
83.0,79.3,85.5,86.8,78.1,84.0,84.1
83.0,79.3,85.4,86.8,78.1,84.0,84.2
83.0,79.3,85.5,86.8,78.2,84.1,84.3
83.1,79.4,85.4,86.8,78.2,84.1,84.5
83.2,79.6,85.4,86.9,78.1,84.2,84.7
83.2,79.8,85.4,86.9,78.1,84.3,84.9
83.4,80.2,85.4,87.0,78.1,84.4,85.1
83.5,80.4,85.4,87.1,78.2,84.4,85.3
83.6,80.6,85.4,87.2,78.2,84.4,85.5
83.6,80.6,85.5,87.3,78.2,84.5,85.7
83.9,80.9,85.6,87.6,78.3,84.8,86.1
84.1,81.1,85.7,88.0,78.5,84.9,86.5
84.2,81.2,85.7,88.1,78.6,85.0,86.6
84.2,81.2,85.8,88.0,78.8,85.0,86.6
84.2,81.2,85.8,87.9,78.9,85.0,86.6
84.3,81.2,85.8,87.9,79.0,85.1,86.6
84.4,81.3,85.8,88.0,79.2,85.4,86.7
84.6,81.5,85.9,88.2,79.5,85.8,86.9
84.8,81.7,85.9,88.3,79.6,85.9,87.1
84.9,81.9,85.9,88.7,79.7,86.1,87.3
85.1,82.0,85.9,89.3,79.6,86.1,87.5
85.1,82.1,85.9,89.4,79.6,86.2,87.5
85.2,82.2,85.9,89.7,79.6,86.4,87.6
85.3,82.3,85.7,90.0,79.6,86.3,87.8
85.2,82.4,85.6,89.8,79.5,86.2,87.8
85.0,82.4,84.8,89.8,79.3,86.1,87.8
84.9,82.4,84.3,89.8,79.3,86.0,87.8
84.9,82.4,83.9,89.8,79.4,86.0,87.9
84.8,82.4,83.2,89.8,79.5,85.8,87.9
84.6,82.4,82.7,90.0,79.5,85.3,87.9
84.5,82.5,82.2,90.0,79.6,85.1,87.8
84.4,82.5,81.8,89.9,79.6,85.0,87.7
84.3,82.5,81.6,89.5,79.8,84.8,87.5
84.2,82.5,81.6,89.0,80.2,84.7,87.4
84.2,82.5,81.5,88.6,80.6,84.6,87.3
84.0,82.5,81.2,88.3,80.5,84.6,87.1
83.9,82.5,80.9,87.6,80.6,84.6,87.1
83.7,82.5,80.5,87.2,80.5,84.5,87.1
83.6,82.5,80.3,86.9,80.4,84.5,87.1
83.5,82.4,80.0,86.8,80.1,84.4,87.0
83.2,82.4,79.8,86.5,79.6,84.3,86.3
82.9,82.4,79.2,86.2,79.3,84.3,85.9
82.7,82.3,79.1,86.0,78.9,84.2,85.4
82.4,82.3,78.7,85.6,78.7,84.0,84.8
82.1,82.2,78.5,85.3,78.5,83.7,84.5
82.0,82.2,78.4,85.0,78.5,83.6,84.4
82.0,82.3,78.3,84.9,78.6,83.7,84.2
82.0,82.3,78.2,84.8,78.9,83.7,84.0
82.0,82.4,77.9,84.8,79.3,83.8,83.8
82.2,82.5,78.0,84.7,79.9,83.9,83.9
82.4,82.5,78.2,84.7,81.3,83.9,84.0
83.3,82.6,80.5,84.6,84.1,83.9,84.2
83.8,82.6,81.9,84.5,85.5,84.1,84.1
84.1,82.7,82.7,84.4,86.1,84.5,84.3
84.9,83.1,83.6,84.3,87.1,86.1,85.1
85.8,83.8,84.3,85.6,88.1,87.6,85.3
86.4,84.5,85.1,86.1,88.9,88.0,85.5
86.9,85.2,85.7,86.3,89.6,88.6,85.7
87.3,85.8,86.2,86.1,90.4,89.0,86.0
88.0,86.5,87.4,87.0,91.0,89.6,86.5
89.5,87.5,88.4,91.2,91.7,91.2,87.1
91.2,89.1,89.4,94.2,92.2,92.4,90.1
