,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,cluster
수원시,63.4,63.3,63.2,63.3,63.4,63.5,63.4,63.2,63.2,63.4,63.6,63.8,64,64.1,64.4,64.4,64.3,64.5,64.5,64.8,65.5,65.8,66.1,66.5,66.8,67.2,67.6,68,68.5,69,69.3,69.7,70,70.3,70.6,70.7,70.8,70.8,70.8,70.7,70.7,70.7,70.7,70.8,70.8,70.9,71.1,71.2,71.2,71.2,71.3,71.4,71.6,71.7,71.8,71.9,72,72,72.1,72.1,72.1,72.3,72.4,72.6,72.6,72.6,72.7,72.7,72.9,73.2,73.5,73.9,73.9,73.9,73.8,73.6,73.5,73.3,73.4,73.5,73.6,73.8,74.1,75,76.5,80.2,84.7,85.7,86.1,87.2,88.2,88.8,89.3,89.7,90.1,90.7,91.7,93.4,94.7,96.3,97.3,100,102.4,104.7,106.5,108.4,109.5,109.8,109.8,109.6,0
성남시,67.8,67.2,66.9,67.1,67.5,67.9,67.7,67.4,67.4,67.5,67.5,67.7,67.6,67.9,68.3,68.3,68.3,68.3,68.3,68.5,68.8,69.2,69.4,69.6,69.7,69.9,70.1,70.5,70.7,70.9,71.1,71.3,71.6,71.9,72.1,72.3,72.3,72.4,72.4,72.4,72.4,72.5,72.6,72.7,72.7,72.8,72.9,72.9,72.9,73,73.1,73.2,73.4,73.6,74.3,75.6,76.3,76.7,77.1,77.4,78.4,80.6,82,82.8,83.3,83.5,83.6,83.8,85.5,86,86,85.7,85.3,84.7,84.1,83.6,83.3,83.2,83.4,83.7,84.1,84.8,85.6,86.6,87.2,87.3,87.5,87.5,87.6,87.8,88.9,90.1,90.9,91.4,92.5,94,95.6,97.1,97.9,98.5,99.1,100,101.3,102.6,103.6,104.3,104.8,105.1,105.1,105,0
안양시,60.5,60.2,60,59.8,59.6,59.5,59.5,59.4,59.5,59.8,60.1,60.3,60.5,60.8,61.2,61.4,61.5,61.5,61.6,61.6,62.2,62.4,62.7,62.9,63,63.4,64,65.2,65.9,66.5,66.8,67.2,67.3,67.8,68.1,68.2,68.2,68.1,68.1,68.2,68.3,68.6,68.7,68.8,68.9,69,69.1,69.1,69.1,69.1,69.2,69.2,69.3,69.4,69.5,70,70.3,70.7,71.1,71.4,71.6,71.9,72.2,72.5,72.6,72.7,72.8,73.1,73.9,74.6,74.8,74.8,74.7,74.5,74.3,73.6,73.1,72.9,72.7,72.7,73.1,73.5,74,75.2,76,77.1,78.8,79.9,80.6,81.3,82,82.6,83.2,83.8,84.5,85.2,86.2,88,90.1,92.4,95.2,100,103.2,106.2,108.3,110.5,111.7,112,111.8,111.6,0
부천시,68.1,67.7,67.4,67.4,67.6,67.6,67.5,67.2,67.2,67.8,68.1,68.4,68.7,68.9,69.2,69.2,69.3,69.4,69.5,69.6,69.8,70,70.1,70.2,70.2,70.3,70.5,70.6,70.8,71.2,71.5,71.9,72.3,72.9,73.3,73.5,73.6,73.6,73.6,73.6,73.7,73.9,74.1,74.2,74.3,74.4,74.5,74.5,74.5,74.5,74.5,74.5,74.6,74.8,74.9,75.2,75.5,75.6,75.8,75.9,76,76.2,76.3,76.5,76.5,76.5,76.7,76.8,77.1,78.4,79.3,79.3,79,79,78.9,78.8,78.7,78.7,78.8,78.9,79.2,79.7,80.4,80.9,81.3,81.9,82.9,83.9,84.4,85.2,86.2,86.9,87.4,87.8,88.3,89.1,90.2,91.8,93.6,95.5,97.2,100,102,104.5,106.7,108.7,110.2,110.8,110.8,110.7,0
광명시,53,52.9,52.6,52.6,52.9,53,53.1,52.9,53.1,53.1,53.7,54,54.5,54.7,55.3,55.4,55.4,55.4,55.3,55.5,56,57,57.4,57.6,57.9,58.5,59.3,60.4,61.6,62.5,62.8,63.2,63.6,64,64.7,65.1,65.4,65.4,65.4,65.3,65.3,65.4,65.6,65.9,66.1,66.5,66.8,67,67,67.1,67.2,67.4,67.6,68,68.3,68.7,68.9,69.1,69.3,69.4,69.5,69.7,69.8,69.9,70.1,70.4,70.7,72.7,75.8,77.1,77.3,77.1,76.3,75.7,74.5,73.5,72.5,72.7,74.1,75.1,75.8,76.8,77.6,79.5,80.6,81.6,83.3,84.1,84.5,84.9,86.2,87.9,89.2,90.2,91,91.8,92.7,94.3,96,97.3,98.4,100,102,104,105.5,106.7,107.3,107.4,107.3,107.3,0
안산시,66.8,66.6,66.3,66.3,66.6,66.8,66.7,66.5,66.6,66.9,67.1,67.3,67.7,68.1,68.5,68.3,68.3,68.3,68.3,68.4,69.4,69.7,70,70.3,70.5,70.9,71.8,73.1,74,74.8,75.5,75.9,76.4,77.1,77.4,77.3,77.3,77.2,77,76.8,76.7,76.8,76.9,77,77,77.1,77.1,77.2,77.1,77.1,77.1,77.1,77.1,77.2,77.1,77.2,77.3,77.3,77.2,77.1,76.9,76.7,76.6,76.3,75.7,75.1,74.1,72.5,72,71.7,71.4,71,70.6,70.3,70.1,69.9,69.9,69.6,69.6,69.5,69.6,69.8,70.1,71.1,71.4,71.8,73.5,75.7,77,79,80.1,80.4,80.3,80.3,80.5,80.7,81.1,84.4,87.8,91.7,95,100,102.8,105,107.1,109.3,110.7,111.2,111.3,111.3,0
고양시,69.5,69,68.6,68.1,68.1,68,67.9,67.9,68.1,68.5,68.6,68.9,69.2,69.5,69.9,70,69.9,69.8,69.8,70.1,70.4,70.9,71.2,71.4,71.6,72.1,72.6,73.2,73.8,74.3,74.7,75.3,75.9,76.6,77,77.1,77.1,77.1,77.1,77.1,77.2,77.3,77.4,77.5,77.7,78.3,78.8,78.8,78.8,78.7,78.7,78.9,79,79.2,79.8,80.7,80.7,80.7,80.8,80.7,80.5,80.3,80.2,80.2,80.1,79.9,79.7,79.5,79.7,80.2,80.6,80.6,80.5,80.4,80.3,79.9,79.6,79.3,78.9,78.5,78.3,78.2,78.1,78.5,78.8,79,79.3,79.7,80,80.7,82.1,82.9,83.4,84,85.3,87.9,91.3,94.8,96.7,97.7,98.5,100,101.4,103.1,105,106.7,107.6,108,108.1,108,0
과천시,63.4,63.1,63.2,64.5,64.8,64.6,64.3,64,64,64.5,64.6,65,65.3,65.7,66.8,67.2,67.1,66.9,66.9,67.1,67.6,67.8,67.8,67.8,67.8,67.9,67.9,68.5,68.8,69.2,69.5,69.9,70.7,71,71.2,71.2,71.2,71.2,71.2,71.3,71.8,72.5,73,73,73.1,73.3,73.3,73.3,73.3,73.3,73.4,73.3,73.4,73.8,73.9,74.4,74.4,74.3,74.4,74.6,75.7,78.7,79.3,79.7,79.8,79.7,79.7,80.1,83.5,84.6,84.7,84.6,84.4,84.2,83.3,82,81.4,81.8,82.9,84.5,85.5,87.1,89.2,92.4,93.1,92.9,92.9,92.7,91.8,91.3,91.9,92.6,93,93.2,93.2,94.3,95.6,97.1,97.8,98.1,98.5,100,100.8,101.8,102.3,102.6,103.1,103.5,103.4,103.4,0
구리시,58.9,58.3,58,58.1,58.3,58.4,58.3,58.2,58.2,58.6,58.8,58.9,58.9,59.3,59.5,59.7,59.8,59.8,59.7,59.8,59.9,60.1,60.3,60.4,60.5,60.6,60.9,61.4,61.8,62.3,62.6,62.8,63.3,63.7,64.1,64.4,64.4,64.4,64.4,64.4,64.5,64.6,64.7,64.9,65,65.1,65.2,65.2,65.2,65.3,65.3,65.3,65.4,65.6,65.8,66,66.2,66.3,66.5,66.5,66.7,66.8,67,67.3,67.7,68,68.2,68.8,70.3,71.2,72.2,72.7,73.1,73.1,73.2,73.3,73.3,73.4,73.6,73.8,74.1,74.5,75.2,75.6,76.8,77.9,80.9,83.6,85.1,86.6,88.1,89.8,91.2,91.7,92.1,92.6,93.4,95.1,96.5,97.6,98.6,100,101.2,102.7,104,105.3,106.2,106.4,106.3,106.3,0
남양주시,70.2,69.9,69.7,69.6,69.7,69.6,69.4,69.2,69.1,69.3,69.3,69.4,69.5,69.7,70,70.1,70,69.9,69.8,69.8,70,70.1,70.1,70.2,70.2,70.3,70.5,70.9,71.3,71.6,71.9,72.1,72.4,72.8,73.3,73.7,73.7,73.8,73.8,73.9,73.9,74,74.1,74.2,74.3,74.5,74.8,74.8,74.8,74.8,74.8,74.9,75,75.3,75.5,75.6,75.7,75.8,75.9,75.9,75.8,75.7,75.7,75.6,75.6,75.6,75.6,75.5,75.5,75.5,75.6,75.7,75.7,75.7,75.6,75.6,75.5,75.6,75.5,75.6,75.6,75.6,75.6,75.8,76,76.5,77.1,77.9,78.3,79.2,80.4,81.8,82.8,83.3,84.5,86.3,88.6,92.5,94.8,96.4,97.5,100,101.9,104.1,106.1,107.8,108.9,109.3,109.3,109.3,0
