date,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,여주시,포천시,의왕시,오산시
2013-01-01,63.4,67.8,77.7,60.5,68.1,53,92.6,92.6,66.8,69.5,63.4,58.9,70.2,67.8,64.5,62.6,68.8,82.3,89.2,92.6,71.1,73,82.4,82,102.8,93.6,59.7,83.2
2013-02-01,63.3,67.2,77.4,60.2,67.7,52.9,92.5,90.9,66.6,69,63.1,58.3,69.9,67.2,64.5,62.4,68.5,81.9,89.4,92.8,70.9,72.9,82,81.7,102.8,93.6,59.1,83
2013-03-01,63.2,66.9,76.9,60,67.4,52.6,92.4,90.1,66.3,68.6,63.2,58,69.7,67.1,64.4,62.3,68.4,81.6,89.7,92.8,70.8,72.8,81.9,81.4,102.7,93.6,58.7,82.9
2013-04-01,63.3,67.1,76.4,59.8,67.4,52.6,92.4,90,66.3,68.1,64.5,58.1,69.6,67,64.8,62.5,68.4,80.6,90.1,93.5,70.7,73.2,82.3,81.7,102.7,93.9,58.6,82.9
2013-05-01,63.4,67.5,76.4,59.6,67.6,52.9,92.4,89.8,66.6,68.1,64.8,58.3,69.7,67.2,65,62.9,68.5,80.7,90.4,93.8,71,73.6,82.3,81.9,103.6,94.7,58.8,82.9
2013-06-01,63.5,67.9,76.2,59.5,67.6,53,92.6,89.6,66.8,68,64.6,58.4,69.6,67.3,65.2,62.8,68.7,80.3,90.6,94.1,70.8,73.7,82.2,82.1,103.8,95.1,59.1,82.4
2013-07-01,63.4,67.7,75.5,59.5,67.5,53.1,92.5,89.3,66.7,67.9,64.3,58.3,69.4,67.3,64.7,62.7,68.5,80,90.7,94.3,70.2,73.4,81.9,81.4,103.9,94.7,58.7,82.1
2013-08-01,63.2,67.4,75.2,59.4,67.2,52.9,92.3,89,66.5,67.9,64,58.2,69.2,67.1,64.5,62.5,68.4,80,90.8,94.4,69.8,73.2,81.6,81,103.8,94.2,58.6,81.9
2013-09-01,63.2,67.4,75.1,59.5,67.2,53.1,92.3,88.9,66.6,68.1,64,58.2,69.1,67.3,65.1,62.7,68.2,80.4,91,94.7,69.9,73.2,81.4,81,103.8,93.8,58.8,81.7
2013-10-01,63.4,67.5,75.2,59.8,67.8,53.1,92.4,89,66.9,68.5,64.5,58.6,69.3,67.7,65.8,63.6,68.3,80.7,91.5,95.3,71.3,73.6,81.5,81.3,104.3,94.1,59.3,81.8
