date,seoul,Avg_1,Avg_2,Avg_3,MMI,CPI,대출금리,전세가격지수 전국 ,전세가격지수 경기도,환율,M2,코스피,코스닥,건축허용면적,거래량 전국,거래량 경기
2013-01-01,73.5,64.75625,93.9,80.1,102.868,92.728,5.78,82.6893311,76.00763559,1089.00 ,1841.10 ,1961.90 ,503.67 ,8413721.00 ,54632,13631
2013-02-01,73.2,64.425,93.66666667,79.8,90.009,93.038,5.66,82.87118273,76.10804421,1083.00 ,1857.10 ,2026.50 ,535.87 ,7268443.00 ,65640,14925
2013-03-01,73.1,64.225,93.55,79.6,101.388,92.952,5.54,83.16272238,76.37668692,1111.00 ,1862.40 ,2004.90 ,555.02 ,10160177.00 ,87563,17718
2013-04-01,73.2,64.3,93.76666667,79.5,101.295,92.823,5.42,83.55404351,76.85818861,1101.00 ,1867.70 ,1964.00 ,563.87 ,9757932.00 ,106498,22790
2013-05-01,73.4,64.49375,94.11666667,79.6,102.313,92.823,5.24,83.79707686,77.09052756,1129.70 ,1870.30 ,2001.05 ,577.87 ,10837979.00 ,120393,25910
2013-06-01,73.2,64.55,94.3,79.5,99.722,92.71,5.05,83.97808012,77.26568807,1142.00 ,1884.20 ,1863.32 ,519.06 ,10007009.00 ,160468,33741
2013-07-01,72.8,64.36875,94.23333333,79.1,99.907,92.909,5.09,84.23058102,77.47429854,1123.50 ,1890.70 ,1914.03 ,554.31 ,11233555.00 ,74944,16437
2013-08-01,72.5,64.175,94.08333333,78.8,96.115,93.238,5.06,84.58286486,77.93903512,1110.00 ,1888.70 ,1926.36 ,516.74 ,10416674.00 ,73984,15524
2013-09-01,72.5,64.275,94.08333333,78.8,93.525,93.419,5.06,85.0184388,78.57250468,1074.70 ,1903.20 ,1996.96 ,534.89 ,10298366.00 ,76562,18163
2013-10-01,72.9,64.7125,94.43333333,79,104.81,93.134,5.02,85.59704342,79.33054658,1060.70 ,1908.60 ,2030.09 ,532.44 ,10568933.00 ,120141,28813
2013-11-01,73,64.89375,94.75,79.1,103.793,93.116,4.98,86.04182187,79.89309218,1058.20 ,1923.30 ,2044.87 ,517.06 ,13269239.00 ,114525,25783
2013-12-01,73,65.08125,94.96666667,79,104.903,93.229,4.99,86.40435312,80.36939384,1055.40 ,1932.00 ,2011.34 ,499.99 ,14833710.00 ,131929,29429
2014-01-01,73.2,65.2875,95.33333333,79.2,98.52,93.73,4.92,86.91199591,81.08959711,1070.40 ,1937.00 ,1941.15 ,515.20 ,7029681.00 ,95708,20354
2014-02-01,73.5,65.625,95.65,79.3,93.617,93.98,4.92,87.33468805,81.78271774,1067.50 ,1954.30 ,1979.99 ,528.96 ,12075079.00 ,113216,25005
2014-03-01,73.8,66.05,96.13333333,79.4,104.533,94.153,4.87,87.7439615,82.4535029,1064.70 ,1965.00 ,1985.61 ,541.58 ,11480053.00 ,122979,28913
2014-04-01,73.8,66.0375,96.06666667,79.3,103.885,94.214,4.84,87.86654532,82.54998488,1033.20 ,1970.40 ,1961.79 ,559.34 ,13142632.00 ,126077,28251
2014-05-01,73.7,66.0125,96.01666667,79.1,100.37,94.369,4.82,87.92376468,82.55142936,1020.10 ,1982.40 ,1994.96 ,546.53 ,11643204.00 ,108678,23666
2014-06-01,73.7,65.98125,95.98333333,79.1,100.463,94.248,4.81,88.00799,82.66361095,1011.80 ,1999.40 ,2002.21 ,537.06 ,12440826.00 ,106410,21441
2014-07-01,73.6,65.95625,95.93333333,79,104.07,94.386,4.79,88.12232691,82.90216588,1027.90 ,2013.90 ,2076.12 ,536.32 ,12242833.00 ,115734,24460
2014-08-01,73.7,66.0875,96.01666667,78.9,93.617,94.551,4.76,88.27165164,83.18614722,1014.00 ,2031.80 ,2068.54 ,570.20 ,13301692.00 ,114216,25289
2014-09-01,74,66.525,96.26666667,79.2,95.467,94.49,4.74,88.54676187,83.67602915,1055.20 ,2037.60 ,2020.09 ,573.22 ,11107515.00 ,123879,28592
2014-10-01,74.3,66.85625,96.48333333,79.4,101.85,94.205,4.67,88.83703064,84.11022347,1068.50 ,2051.10 ,1964.43 ,558.70 ,12179962.00 ,153099,36359
2014-11-01,74.4,67.05,96.68333333,79.6,100.555,94.015,4.63,89.10104072,84.53930598,1107.90 ,2083.30 ,1980.78 ,545.08 ,10952197.00 ,129566,28934
2014-12-01,74.5,67.2,96.9,79.6,106.383,94.006,4.67,89.3398184,84.91846465,1099.30 ,2088.70 ,1915.59 ,542.97 ,13750942.00 ,137561,28262
2015-01-01,74.6,67.33125,97.13333333,79.7,99.8,94.643,4.56,89.58061591,85.27289235,1093.50 ,2092.20 ,1949.26 ,591.58 ,9619270.00 ,118410,25540
2015-02-01,74.8,67.63125,97.38333333,79.9,88.8,94.587,4.51,89.87750008,85.7553436,1098.40 ,2109.90 ,1985.80 ,624.56 ,9591318.00 ,112865,25782
2015-03-01,75.2,68.10625,97.56666667,80.2,103.3,94.596,4.44,90.29471429,86.37220544,1109.50 ,2127.90 ,2041.03 ,650.49 ,14727782.00 ,158097,38930
2015-04-01,75.7,68.89375,98,80.6,101.4,94.625,4.35,90.83019122,87.19101776,1072.40 ,2148.10 ,2127.17 ,689.01 ,15815971.00 ,168330,41690
2015-05-01,76.2,69.48125,98.26666667,80.8,97.3,94.89,4.26,91.23276341,87.83231815,1108.20 ,2166.70 ,2114.80 ,711.39 ,14731858.00 ,153223,36929
2015-06-01,76.7,70.06875,98.55,81.2,101.5,94.909,4.2,91.68429524,88.48646407,1115.50 ,2179.60 ,2074.20 ,742.27 ,16027191.00 ,155581,37783
2015-07-01,77.1,70.48125,98.81666667,81.4,100.4,95.08,4.11,91.99653162,88.94225495,1170.00 ,2200.50 ,2030.16 ,725.06 ,23044307.00 ,161728,35909
2015-08-01,77.6,70.8375,99.05,81.7,94.7,95.213,4.05,92.27957494,89.33445379,1182.50 ,2218.70 ,1941.49 ,687.11 ,16650981.00 ,134996,33512
2015-09-01,78.1,71.26875,99.4,82,99.9,94.966,4.03,92.65894214,89.84332277,1185.30 ,2230.00 ,1962.81 ,678.48 ,17841432.00 ,126954,34412
2015-10-01,78.6,71.74375,99.71666667,82.4,105.1,94.966,3.99,93.04622327,90.40574472,1140.10 ,2232.40 ,2029.47 ,683.63 ,17159006.00 ,149610,38713
2015-11-01,79.1,72.08125,100.0333333,82.8,102.7,94.786,3.95,93.42993618,90.88588862,1158.10 ,2242.80 ,1991.97 ,688.38 ,16130395.00 ,143592,36556
2015-12-01,79.4,72.225,100.2,83,105.1,95.07,3.98,93.67082806,91.16638961,1172.50 ,2246.10 ,1961.31 ,682.35 ,18500619.00 ,137409,33034
2016-01-01,79.5,72.2625,100.25,83,99,95.232,3.99,93.79881344,91.32007912,1199.10 ,2261.40 ,1912.06 ,682.80 ,12198586.00 ,106955,25227
2016-02-01,79.5,72.2375,100.2666667,83,90.7,95.64,3.95,93.90524322,91.46768318,1236.70 ,2285.30 ,1916.66 ,651.62 ,12258520.00 ,95751,23233
2016-03-01,79.5,72.21875,100.25,83.1,105.7,95.393,3.96,94.00279411,91.62371971,1143.50 ,2294.50 ,1995.85 ,688.38 ,16178890.00 ,124125,31118
2016-04-01,79.6,72.2125,100.3333333,83.2,99.7,95.573,3.87,94.12582202,91.83029505,1139.30 ,2299.10 ,1994.15 ,699.77 ,15582962.00 ,128655,33024
2016-05-01,79.7,72.2625,100.4666667,83.2,102.6,95.63,3.89,94.22782489,92.01341609,1191.70 ,2312.80 ,1983.40 ,698.45 ,16196336.00 ,134506,33557
2016-06-01,80,72.3875,100.5666667,83.4,104.7,95.611,3.87,94.32686741,92.23975367,1151.80 ,2334.30 ,1970.35 ,675.09 ,17250909.00 ,141611,37258
2016-07-01,80.3,72.49375,100.65,83.5,102.4,95.431,3.81,94.40386734,92.38806303,1120.20 ,2352.20 ,2016.19 ,706.24 ,16609594.00 ,141740,40373
2016-08-01,80.6,72.6,100.75,83.6,98,95.677,3.79,94.4789357,92.51542596,1114.80 ,2377.30 ,2034.65 ,663.69 ,15074493.00 ,149750,43007
2016-09-01,80.9,72.675,100.8666667,83.6,98.7,96.247,3.76,94.55315995,92.61988723,1101.30 ,2383.00 ,2043.63 ,681.21 ,11573444.00 ,138348,38756
2016-10-01,81.5,72.85,101.0333333,83.9,104.4,96.379,3.75,94.68925941,92.79213096,1144.50 ,2391.10 ,2008.19 ,624.68 ,14636724.00 ,162623,46100
2016-11-01,81.9,73,101.2833333,84.1,108.9,96.237,3.77,94.82983124,92.97169706,1169.10 ,2406.40 ,1983.48 ,596.11 ,15593128.00 ,157142,41696
