,단지명,전용면적(㎡),계약년월,거래금액(만원),층,건축년도,도로명
1034,SKVIEW2단지,84.68,202002,"        17,400",11,2007,중앙로 176
1035,SKVIEW2단지,84.68,202002,"        17,800",9,2007,중앙로 176
1109,SKVIEW2단지,84.68,202102,"        19,700",9,2007,중앙로 176
227,SK비전,84.917,202002,"        20,000",2,2003,평택5로 57
228,SK비전,84.917,202002,"        19,800",4,2003,평택5로 57
166,SK비전,84.917,202102,"        22,800",5,2003,평택5로 57
167,SK비전,84.917,202102,"        22,900",4,2003,평택5로 57
168,SK비전,84.917,202102,"        23,000",6,2003,평택5로 57
1036,SK합정,59.965,202002,"        16,300",9,2003,참이슬길 5
1037,SK합정,59.965,202002,"        17,000",9,2003,참이슬길 5
1038,SK합정,59.965,202002,"        15,500",3,2003,참이슬길 5
1039,SK합정,59.965,202002,"        13,500",1,2003,참이슬길 5
1040,SK합정,59.965,202002,"        15,500",8,2003,참이슬길 5
1041,SK합정,59.965,202002,"        16,000",10,2003,참이슬길 5
1110,SK합정,59.965,202102,"        14,300",1,2003,참이슬길 5
1111,SK합정,59.965,202102,"        16,150",3,2003,참이슬길 5
1112,SK합정,59.965,202102,"        16,100",3,2003,참이슬길 5
1113,SK합정,59.965,202102,"        14,000",1,2003,참이슬길 5
1114,SK합정,59.965,202102,"        16,600",4,2003,참이슬길 5
1115,SK합정,59.965,202102,"        17,000",9,2003,참이슬길 5
1116,SK합정,59.965,202103,"        16,000",8,2003,참이슬길 5
483,SK합정,59.965,202202,"        24,200",8,2003,참이슬길 5
484,SK합정,59.965,202202,"        23,300",10,2003,참이슬길 5
485,SK합정,59.965,202202,"        23,700",7,2003,참이슬길 5
1022,SR친오애,78.9582,202002,"        15,000",15,2004,서동대로 784
1023,SR친오애,78.9582,202002,"        11,000",2,2004,서동대로 784
1024,SR친오애,55.2406,202002,"        10,800",3,2004,서동대로 784
1025,SR친오애,78.9582,202002,"        12,500",4,2004,서동대로 784
1026,SR친오애,55.2406,202002,"        11,300",12,2004,서동대로 784
1101,SR친오애,78.9582,202102,"        12,700",13,2004,서동대로 784
1102,SR친오애,55.2406,202102,"         9,300",4,2004,서동대로 784
1103,SR친오애,78.9582,202102,"        11,000",4,2004,서동대로 784
905,TheSKY(더스카이송탄),39.93,202002,"        20,000",10,2019,지산로12번길 43
313,TheSKY(더스카이송탄),66.13,202202,"        33,650",8,2019,지산로12번길 43
314,TheSKY(더스카이송탄),39.93,202202,"        21,650",10,2019,지산로12번길 43
315,TheSKY(더스카이송탄),66.13,202202,"        33,800",10,2019,지산로12번길 43
316,TheSKY(더스카이송탄),61.19,202202,"        31,250",10,2019,지산로12번길 43
317,TheSKY(더스카이송탄),38.29,202202,"        20,800",11,2019,지산로12번길 43
318,TheSKY(더스카이송탄),39.93,202202,"        21,650",11,2019,지산로12번길 43
319,TheSKY(더스카이송탄),66.13,202202,"        33,800",11,2019,지산로12번길 43
320,TheSKY(더스카이송탄),61.19,202202,"        31,250",11,2019,지산로12번길 43
321,TheSKY(더스카이송탄),38.29,202202,"        20,800",12,2019,지산로12번길 43
322,TheSKY(더스카이송탄),39.93,202202,"        21,650",12,2019,지산로12번길 43
323,TheSKY(더스카이송탄),66.13,202202,"        33,800",12,2019,지산로12번길 43
324,TheSKY(더스카이송탄),61.19,202202,"        31,250",12,2019,지산로12번길 43
325,TheSKY(더스카이송탄),38.29,202202,"        20,800",13,2019,지산로12번길 43
326,TheSKY(더스카이송탄),66.13,202202,"        33,800",13,2019,지산로12번길 43
327,TheSKY(더스카이송탄),61.19,202202,"        31,250",13,2019,지산로12번길 43
328,TheSKY(더스카이송탄),39.93,202202,"        21,650",13,2019,지산로12번길 43
