행정구역별,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,cluster
중구,77.8,77.8,77.5,77.5,77.8,78.0,77.4,76.7,76.7,76.9,76.9,77.1,77.2,77.1,77.4,77.3,77.3,77.3,77.3,77.3,77.5,77.7,78.0,78.1,78.2,78.5,78.9,79.4,79.6,79.9,80.1,80.3,80.5,80.9,81.2,81.5,81.5,81.6,81.6,81.7,81.7,81.9,82.0,82.3,82.4,82.6,82.9,82.9,83.0,83.0,83.1,83.3,83.5,83.9,84.4,84.9,85.0,85.2,85.7,86.2,86.7,87.7,88.9,89.5,90.1,90.6,91.3,92.4,93.8,94.6,94.9,95.1,94.9,94.7,94.5,94.3,94.2,94.1,94.2,94.4,94.6,95.2,95.7,96.1,96.2,96.4,96.5,96.4,96.4,96.4,97.1,97.5,97.7,97.8,97.9,98.1,98.4,99.0,99.2,99.4,99.5,100,100.4,101.0,101.7,102.6,103.3,103.5,103.5,103.4,1
광진구,76.8,76.4,75.9,75.9,75.2,74.8,74.5,74.0,73.9,74.0,74.2,74.2,74.4,74.6,74.8,74.8,74.8,74.8,74.7,74.6,74.8,75.1,75.3,75.4,75.6,75.8,76.1,76.5,77.0,77.3,77.7,78.4,79.1,79.8,80.4,80.9,80.9,81.0,81.0,81.0,81.1,81.1,81.2,81.4,81.6,82.0,82.5,82.7,82.7,82.7,82.7,82.8,83.2,83.9,84.5,85.0,85.1,85.5,86.1,87.4,89.1,90.6,91.8,92.2,92.5,92.4,92.4,92.5,93.5,93.8,94.0,93.9,93.7,93.4,93.2,93.0,92.9,92.9,93.0,93.1,93.3,94.0,94.5,95.1,95.4,95.4,95.4,95.3,95.2,95.4,96.2,96.6,97.0,97.1,97.2,97.4,97.8,98.6,99.1,99.4,99.6,100,100.5,101.1,101.4,101.7,101.9,102.0,102.0,102.0,1
동대문구,75.5,75.1,75.0,74.6,74.8,74.7,74.3,73.9,73.8,74.1,74.3,74.4,74.9,75.3,75.6,75.7,75.7,75.6,75.5,75.5,75.6,75.8,75.9,75.9,76.0,76.2,76.7,77.2,77.6,78.1,78.9,79.6,80.6,81.7,82.4,82.9,82.9,83.0,83.0,83.1,83.2,83.3,83.5,83.7,83.9,84.4,84.8,84.9,84.9,84.9,85.0,85.2,85.7,86.2,86.5,86.7,86.9,86.9,87.1,87.3,87.6,88.0,88.5,88.9,89.2,89.8,90.4,91.3,92.6,93.3,93.5,93.3,93.0,92.8,92.3,92.0,91.8,91.7,91.6,91.7,91.9,92.3,92.8,93.5,93.9,94.2,94.4,94.4,94.3,94.5,95.7,96.3,96.8,97.0,97.1,97.4,97.8,98.6,99.0,99.3,99.5,100,100.5,101.1,101.8,102.2,102.4,102.5,102.5,102.5,1
성북구,79.3,78.8,78.4,77.9,77.5,77.1,76.8,76.5,76.5,76.7,76.8,76.9,77.1,77.1,77.4,77.5,77.4,77.3,77.2,77.3,77.5,77.6,77.7,77.7,77.8,77.9,78.0,78.3,78.6,79.0,79.3,79.7,80.1,80.7,81.4,81.8,81.8,81.8,81.8,81.8,81.9,82.1,82.4,82.7,83.1,83.5,83.9,84.2,84.3,84.3,84.3,84.3,84.3,84.5,84.8,85.2,85.4,85.6,85.8,86.1,86.5,87.5,88.8,89.3,90.0,90.6,91.0,91.7,92.9,93.5,93.7,93.7,93.6,93.4,93.3,93.1,93.0,92.9,92.9,93.0,93.1,93.4,93.9,94.4,94.8,94.9,95.2,95.2,95.1,95.1,96.1,96.7,97.0,97.1,97.3,97.5,97.8,98.2,98.5,98.9,99.2,100,100.7,101.5,102.3,103.3,104.1,104.2,104.2,103.9,1
강북구,77.3,77.1,76.9,76.7,76.8,76.6,76.3,76.0,75.8,76.1,76.2,76.2,76.3,76.4,76.5,76.6,76.5,76.5,76.4,76.5,76.6,76.9,77.0,77.1,77.1,77.3,77.6,77.9,78.2,78.6,78.8,79.1,80.0,80.8,81.3,81.6,81.7,81.7,81.7,81.7,81.7,81.8,82.0,82.3,82.5,82.7,83.0,83.1,83.1,83.1,83.1,83.1,83.2,83.5,83.8,84.0,84.1,84.3,84.4,84.8,85.2,85.5,85.9,86.1,86.6,87.2,87.9,88.9,90.5,91.3,91.6,91.7,91.6,91.6,91.5,91.5,91.4,91.4,91.5,91.6,91.9,92.2,92.5,92.8,93.2,93.5,93.9,94.2,94.2,94.4,95.9,96.6,96.9,97.0,97.1,97.5,97.8,98.5,98.8,99.0,99.2,100,100.7,101.4,101.8,102.2,102.3,102.3,102.2,102.1,1
도봉구,78.8,77.7,77.4,77.4,77.4,77.1,76.7,76.3,76.3,76.8,76.8,77.2,77.6,77.7,78.0,78.1,78.0,77.9,78.0,78.1,78.2,78.4,78.5,78.7,78.8,78.9,79.1,79.3,79.6,80.0,80.5,81.0,81.6,82.0,82.8,83.1,83.1,83.2,83.2,83.3,83.4,83.5,83.7,83.8,84.0,84.2,84.7,84.9,84.9,84.8,84.8,85.0,85.4,86.0,86.4,86.7,86.8,86.9,87.1,87.2,87.5,87.8,88.0,88.2,88.3,88.6,88.8,89.3,90.8,91.6,91.8,91.7,91.6,91.4,90.9,90.7,90.5,90.4,90.5,90.6,90.8,91.1,91.5,92.0,92.2,92.5,92.9,93.1,93.1,93.2,94.5,95.2,95.4,95.6,95.7,95.9,96.2,97.1,97.8,98.3,98.9,100,101.1,102.4,103.3,103.8,104.2,104.3,104.3,104.2,1
은평구,79.1,78.9,78.6,78.1,77.9,77.6,77.3,77.3,77.2,77.4,77.8,77.9,77.9,77.9,78.1,78.2,78.3,78.4,78.3,78.4,78.7,78.8,78.9,79.1,79.5,79.6,79.9,80.2,80.3,80.6,80.8,81.2,81.6,82.0,82.4,82.6,82.6,82.7,82.7,82.8,83.0,83.2,83.5,83.7,84.0,84.4,84.8,85.0,85.1,85.3,85.5,85.8,86.2,86.7,87.1,87.4,87.5,87.6,87.8,88.0,88.3,88.7,89.0,89.2,89.5,89.9,90.4,91.6,93.1,93.7,93.8,93.8,93.6,93.5,93.2,93.0,92.9,92.9,92.9,93.0,93.2,93.5,93.9,94.5,94.8,94.9,95.1,95.1,95.1,95.1,96.0,96.6,97.0,97.2,97.3,97.5,97.8,98.3,98.7,99.0,99.4,100,100.7,101.6,102.4,103.4,104.2,104.3,104.2,103.9,1
서대문구,77.8,77.7,77.5,77.8,77.9,77.8,77.6,77.2,77.1,77.5,77.7,78.0,78.5,78.7,78.8,79.2,79.1,79.1,79.1,79.2,79.4,79.5,79.5,79.6,79.6,79.7,80.0,80.3,80.5,80.8,81.1,81.3,81.7,82.2,82.5,82.8,82.9,83.0,83.0,83.1,83.3,83.6,83.8,84.3,84.6,85.0,85.4,85.6,85.7,85.8,86.0,86.2,86.5,86.9,87.3,87.5,87.7,87.8,88.0,88.3,88.6,89.4,90.0,90.7,91.3,92.0,92.5,93.1,94.1,94.7,94.8,94.8,94.6,94.5,94.4,94.2,94.0,93.9,94.0,94.1,94.2,94.6,95.1,95.6,95.9,96.0,96.2,96.1,96.1,96.1,96.9,97.5,97.8,98.0,98.1,98.3,98.5,98.9,99.1,99.2,99.4,100,100.5,101.1,101.6,102.6,103.2,103.4,103.4,103.2,1
구로구,74.7,74.4,74.3,74.5,74.6,74.5,74.3,74.2,74.2,74.5,74.7,74.5,74.6,74.8,74.9,74.8,74.5,74.3,74.1,74.1,74.3,74.8,75.0,75.1,75.2,75.4,75.6,76.2,76.9,77.6,78.2,78.5,79.3,79.9,80.4,80.9,81.0,80.9,80.8,80.9,81.0,81.3,81.6,81.9,82.2,82.6,83.0,83.2,83.4,83.5,83.7,84.1,84.4,84.9,85.3,85.7,85.8,86.0,86.4,86.7,87.1,87.8,88.2,88.8,89.3,89.9,90.5,90.9,91.8,92.2,92.3,92.3,92.0,92.0,91.9,91.8,91.7,91.7,91.7,91.8,91.9,92.3,92.7,93.3,93.7,94.0,94.3,94.6,94.8,95.2,96.4,96.9,97.3,97.5,97.6,97.8,98.1,98.5,98.9,99.2,99.4,100,100.6,101.3,102.3,103.1,103.7,104.1,104.2,104.2,1
금천구,78.4,78.2,78.0,78.1,78.1,77.7,77.1,76.7,76.9,77.6,77.9,77.8,78.4,78.8,79.1,79.0,78.9,78.8,78.7,78.8,79.0,79.1,79.2,79.2,79.2,79.3,79.6,80.0,80.5,81.0,81.4,81.8,82.5,82.9,83.4,83.8,83.9,84.0,84.1,84.2,84.4,84.6,84.8,85.0,85.3,85.7,86.1,86.3,86.4,86.5,86.8,87.2,87.7,88.3,88.6,89.3,89.3,89.4,89.5,89.5,89.7,89.7,89.9,90.0,90.2,90.4,90.7,91.2,92.4,93.0,93.1,93.2,93.1,93.0,92.8,92.8,92.7,92.7,92.8,92.9,93.0,93.4,94.0,94.6,94.9,95.0,95.1,95.3,95.4,95.7,96.6,97.2,97.5,97.6,97.7,97.9,98.2,98.7,99.0,99.2,99.5,100,100.6,101.1,102.0,102.8,103.2,103.2,103.2,103.2,1
