,수원시,성남시,의정부시,안양시,부천시,광명시,평택시,동두천시,안산시,고양시,과천시,구리시,남양주시,시흥시,군포시,하남시,용인시,파주시,이천시,안성시,김포시,화성시,광주시,양주시,여주시,포천시,의왕시,오산시
2022-01-01 0:00,108.0409737,104.8988129,107.1614375,111.0144557,110.6731897,104.023624,109.0838127,107.4137477,97.02008476,107.0950523,99.04395074,94.57447538,106.793167,109.9354779,112.9524893,101.0047338,99.06112767,106.1665199,111.9639265,114.2511262,104.7257672,107.8622064,103.0968299,110.1097675,106.5602565,107.6614561,109.3350756,91.43669174
2022-02-01 0:00,100.9835567,102.2846468,107.2070363,120.2015048,113.1941313,99.6639572,109.0838127,103.4662703,80.41756916,107.2924964,103.2973207,95.80845993,107.0064808,113.0613143,116.7515581,100.6088142,96.4636208,105.1162401,112.1753111,114.3316264,104.4899635,111.1087918,107.0310139,109.8045035,106.0192226,107.481167,78.34711423,108.7476727
2022-03-01 0:00,85.15892946,106.0991033,107.1763377,109.8201325,109.7421276,102.3150999,109.0838127,94.52821858,85.28822901,108.2624187,101.4519095,99.68064249,105.3706117,116.8943906,88.90528598,80.31991876,97.11568658,105.0689556,112.2659976,114.4218124,102.8358612,111.1456735,103.5849772,110.0246816,105.6284451,105.5104058,74.69259209,88.20801109
2022-04-01 0:00,80.20289395,103.5170748,107.1820424,97.88581523,97.5011969,82.71620744,109.0838127,91.06040463,83.82309077,107.296852,95.89838285,94.34965199,107.4880254,115.3203841,85.71557083,89.4813015,89.73105289,105.0865102,112.3036654,114.4993993,103.1592554,108.3668442,106.6982263,110.0446544,104.951159,104.389998,91.12975396,109.7061917
2022-05-01 0:00,78.52641638,103.9955504,107.2015719,90.62004457,106.8767099,88.90528402,109.0838127,89.94100872,94.1188192,101.2438454,94.35015532,93.6740849,83.65395212,113.1157607,106.7775798,79.8792208,90.04275149,105.1636543,112.3191051,114.4563393,90.32944388,108.43824,106.3242326,109.9143074,104.6837833,103.852578,78.55792431,83.13237408
2022-06-01 0:00,77.81567413,105.0367458,107.1695184,110.4399293,110.5520466,106.8658707,109.0838127,91.62721125,82.66403111,107.3484425,103.1682184,95.0004531,113.6507456,115.5253238,99.18234406,90.49260433,94.0232589,105.2470156,112.3253969,114.4800883,91.82077332,111.7115367,101.3453874,110.2727454,104.5280938,102.6641699,102.7346752,100.3882201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109.8,105.1,107.4,111.8,110.8,107.3,114.3,107.5,111.3,108.1,103.4,106.3,109.3,112.9,114.7,103,107.6,107.5,113.3,116.9,105.6,111.5,108.7,109.8,107.1,109.2,113,116.8
,109.6,105,107.3,111.6,110.7,107.3,114.3,107.4,111.3,108,103.4,106.3,109.3,112.6,114.6,102.8,107.4,107.8,114.2,117,105.6,111,108.7,109.7,107.1,109.3,112.9,116.6
,109.4,105,107.3,111.2,110.6,107.2,114.4,107.4,111.2,107.9,103.1,106.3,109.2,111.7,114.5,102.5,107.1,108,115.5,117.5,105.6,110.4,108.5,109.8,107.1,109.3,112.8,115.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,예측,실제,,,,,,,,,,,
,,,,,,,,,,,,,,,,111.9639265,113.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,112.1753111,114.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,112.2659976,115.5,,,,,,,,,,,
