행정구역별,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
전국,79.55036417,79.32732949,79.07044618,78.89228091,78.81027562,78.95577607,79.15517334,79.21533101,79.17120678,79.06555083,79.14466184,79.49230292,79.72764633,79.92577268,80.22135414,80.47263625,80.76172911,80.85870438,80.892259,80.92683298,80.98908787,81.10841755,81.40712852,81.69931783,81.91691301,82.0899651,82.25777518,82.50127271,82.85404955,83.38830184,83.78485433,84.2265146,84.5247338,84.82474326,85.19832111,85.5781496,85.92745825,86.10465362,86.12505995,86.11368038,86.0838502,86.08199957,86.10064322,86.13608619,86.17681548,86.24334637,86.32756122,86.53101703,86.71912857,86.76142734,86.76857975,86.75989298,86.78978222,86.84293406,86.93477239,87.12471109,87.25682026,87.4634002,87.50771984,87.56936013,87.62703756,87.70050521,87.82752036,88.00661494,88.09337891,88.07126606,87.94036865,87.80525613,87.67974811,87.58894924,87.85559559,87.96912286,87.94328226,87.78061941,87.52636792,87.30385178,87.03169115,86.67669752,86.39502221,86.16017046,85.97246293,85.84880323,85.80471544,85.89849108,86.09243032,86.53006128,86.85257292,87.24529372,87.93788969,88.27346007,88.41502331,88.92351604,89.7117873,90.29108638,90.80467149,91.16440172,91.85046297,93.08020621,94.14515551,95.38254237,96.39889809,97.3765344,98.3276138,100,101.2069014,102.5671847,103.787444,105.0166288,105.8566414,106.2037272,106.2840368,106.2620403,106.2032388
서울특별시,74.42002568,73.94435551,73.48170607,73.19712333,73.10726733,73.20760076,73.38011907,73.21826036,72.82957851,72.48405431,72.54989792,72.93420791,73.02219834,72.9996054,73.21236066,73.46226106,73.75041197,73.77644773,73.71261572,73.6605465,73.64103489,73.7257666,74.02118479,74.33628659,74.44145639,74.451906,74.55512277,74.78516403,75.17154486,75.73958615,76.1919759,76.71060997,77.12519171,77.5536747,78.07954767,78.60568545,79.11333524,79.44591279,79.48246228,79.48320245,79.47868732,79.55572251,79.72390741,79.99427453,80.27145139,80.58330768,80.90074162,81.45877623,81.91760422,82.02452048,82.04548796,82.10023727,82.23639893,82.46292937,82.83579575,83.65885068,84.07917365,84.5897962,84.58096017,84.79981381,85.16043895,85.87308495,87.02571033,88.23115362,88.90716192,89.23907362,89.4384495,89.6301889,89.93517471,90.67400716,92.34584174,92.88095717,92.92946749,92.77250852,92.39283284,92.05301027,91.68784784,91.37339024,91.19127437,91.10785555,91.1730793,91.3018848,91.46957963,92.01755937,92.65420276,93.80119768,94.22023947,94.33124556,94.42887014,94.33702371,94.14464523,94.26999696,95.32783617,95.84872691,96.13128974,96.24073117,96.35373,96.62563092,97.00963362,97.65759497,98.1348803,98.55717104,99.03033018,100,100.8116664,101.7399709,102.657125,103.5049153,104.1219087,104.3771723,104.3822122,104.2966941,104.2231777
종로구,81.41125282,81.40799507,81.40799507,81.40799507,81.33748596,81.31365506,81.24180898,80.9706465,80.7854175,80.62687652,80.59580534,80.75898237,80.818819,80.85796013,80.87295138,80.97016537,80.97914566,80.92692553,80.8870744,80.82598876,80.80828174,80.82539341,81.04171456,81.07716105,81.07572894,81.04573651,81.06418693,81.08993541,81.28362544,81.66408465,81.89540351,82.09882545,82.25038876,82.40893931,82.55428666,82.68437418,82.92349333,83.01444351,83.05526739,83.06751883,83.0941728,83.1376567,83.26228934,83.41819372,83.64888275,83.93331405,84.09946884,84.38593425,84.70357883,84.86715584,84.98297814,85.04611388,85.25095399,85.51917581,85.71625422,86.11925805,86.59077563,87.18814734,87.29029382,87.53496668,87.90116642,88.09764025,88.78448979,89.63784152,90.20614872,90.90923741,91.41254779,91.94505461,92.54436843,93.25765076,94.19887529,95.03515926,95.34669355,95.39260196,95.33461401,95.26718728,95.26290709,95.23308501,95.17428042,95.15610714,95.1066135,95.21220929,95.41538856,95.65752265,95.89585038,96.54304328,97.14381457,97.24194923,97.32983429,97.30288472,97.20188393,97.26140923,98.04527363,98.44598376,98.68792805,98.71839337,98.81181846,98.9920029,99.18097768,99.52943317,99.64559778,99.76841473,99.83437521,100,100.3898272,101.1816447,101.8471024,102.7563822,103.4865674,103.6528272,103.622889,103.3777448,103.2267129
중구,78.41444346,77.93588138,77.7528575,77.79263593,77.46133644,77.49463904,77.82179042,78.02231072,77.37910947,76.69358378,76.66484908,76.88003962,76.86791245,77.0834445,77.20345359,77.14835353,77.37192882,77.29377715,77.32371188,77.25754329,77.31092934,77.33637503,77.46486094,77.68839366,77.97948059,78.10171567,78.20118271,78.52504141,78.90588263,79.37054505,79.56459153,79.88411693,80.05905899,80.26183706,80.50633392,80.94902571,81.16425442,81.48372882,81.5398311,81.59047005,81.61981062,81.66580669,81.747111,81.8714054,82.01534566,82.28262087,82.44841861,82.63108169,82.86117037,82.93616161,82.97624846,83.00659421,83.10962829,83.26127063,83.4643709,83.92599179,84.35670546,84.86256974,85.00515376,85.22073396,85.65164224,86.20808651,86.67232263,87.73946978,88.86258045,89.50103397,90.11639131,90.64496686,91.30189378,92.43118975,93.79225832,94.59175782,94.92601196,95.13331646,94.93907137,94.70489713,94.483769,94.32500058,94.20775142,94.14771931,94.17652349,94.3649808,94.57052508,95.1504553,95.65866841,96.05475976,96.24647363,96.36402191,96.46846029,96.44682087,96.38939542,96.39437904,97.07412228,97.47287844,97.67127258,97.77199052,97.89592578,98.1281369,98.37853005,98.96348984,99.20973677,99.37558578,99.50566786,100,100.3770282,101.003355,101.6548783,102.5753986,103.3107472,103.4625529,103.4727936,103.3897241,103.2562757
용산구,83.91016793,83.59517387,83.30302834,83.07205601,82.7657618,81.74255666,81.44890831,81.22213031,80.87976214,80.3697358,80.08715096,79.78903067,79.65573945,79.4714743,79.12400148,78.78041728,78.60850827,78.50665137,78.33811068,78.25070959,78.18149683,78.10828905,78.12911413,78.32564033,78.38990857,78.33765201,78.31878616,78.40896142,78.55484695,78.70684381,78.85816156,78.98182276,79.15791795,79.30684144,79.48411152,79.72703394,79.95730541,80.05044285,80.09487147,80.12368539,80.15637123,80.27401977,80.37227564,80.56545541,80.85858238,81.11280967,81.33979703,81.74478019,82.10817411,82.27894836,82.43260291,82.48155714,82.68602449,82.98363461,83.3212965,83.92567103,84.40088059,84.98835122,85.04056492,85.15708227,85.36128124,85.54479546,86.74851689,89.23379027,90.47601388,90.90585966,91.25665046,91.52668113,92.07891994,93.70200094,95.04800386,95.28872076,95.24695355,94.98710337,94.54444479,94.26340464,93.94355098,93.64310181,93.49565133,93.36956196,93.43201783,93.5772937,93.77962809,94.23858188,94.80508572,95.50817623,95.80593322,95.94785916,96.0355848,95.98029348,95.82272776,95.87680416,96.59505391,97.11963273,97.44141219,97.53461433,97.62523402,97.84706203,98.16340847,98.70384427,98.99043035,99.23356568,99.52158482,100,100.6364259,101.5979949,102.5691646,103.8515842,105.0200617,105.5126518,105.6086572,105.5646493,105.5300535
성동구,73.98273116,73.1769348,72.79277836,72.42664934,72.05216135,71.71271784,72.3046778,72.49637938,72.35278995,72.17451628,72.00666947,72.44636388,72.61788571,72.71247376,73.21166457,73.77861337,74.2010263,74.35399911,74.31003413,74.31412656,74.22828585,74.22236216,74.31717601,74.47908632,74.52303482,74.57107592,74.65085649,75.00324993,75.46847373,76.21055516,76.66086613,77.14918124,77.76117002,78.54005259,79.13944867,79.91793907,80.52723918,80.83148158,80.84907298,80.89280628,80.92326826,80.98839794,81.05844622,81.14517573,81.17836306,81.36696156,81.58005914,82.00139823,82.38541654,82.51102478,82.49213056,82.46239899,82.48206719,82.67948838,83.19772322,84.07439426,84.77347118,85.07333332,84.763108,84.86357174,85.44690371,86.80812953,88.31038608,90.1840335,91.16620489,91.31888603,91.17097921,91.26985466,91.7247979,92.50908844,94.1863075,94.51047022,94.58496795,94.47021665,94.25505451,94.04151223,93.6933506,93.21508312,92.4985852,92.15367788,92.18844368,92.38426055,92.68369514,93.32879118,94.05777279,94.87973083,95.16169077,95.30783698,95.43975478,95.41944197,95.35442061,95.51398683,96.39497165,96.98226155,97.22719965,97.34576126,97.44408207,97.69964798,98.06294893,98.73684133,99.10695285,99.31202677,99.53748485,100,100.4641964,101.0106213,101.4769665,101.8807322,102.1526325,102.2495142,102.2508703,102.2074212,102.1450485
광진구,77.92219972,77.5030315,76.77647528,76.37244269,75.92616633,75.86130361,75.16288349,74.83176714,74.46121749,73.99918511,73.90294538,74.04800394,74.17941404,74.15528552,74.38292798,74.62069369,74.84522944,74.82157928,74.81470294,74.78837313,74.69539285,74.6215791,74.78102986,75.05970387,75.27621919,75.4159894,75.57289167,75.7873192,76.07877135,76.50888127,77.00592737,77.27608525,77.74255606,78.42355175,79.10846041,79.76687343,80.44238319,80.92757206,80.94909886,80.9768141,80.96928748,81.0151301,81.0620832,81.12739986,81.23091419,81.43860606,81.64118935,82.00723446,82.46634251,82.71161022,82.72557063,82.72059552,82.72059552,82.77158407,83.21245419,83.94658516,84.48864708,85.03072689,85.14350226,85.54595525,86.070594,87.42043647,89.07737639,90.61058732,91.75358487,92.19806404,92.48422632,92.37543696,92.37180723,92.52334325,93.51770547,93.79923596,93.96021522,93.855159,93.68493547,93.40238498,93.19381631,92.99769163,92.94337353,92.90688674,92.98116307,93.13227496,93.33859348,94.04301272,94.50040255,95.12126928,95.35811524,95.39587214,95.39268895,95.34722063,95.24960498,95.41049821,96.16394215,96.63591593,96.97746101,97.10648443,97.2014194,97.42462115,97.79495878,98.56473546,99.05061942,99.36192535,99.62281442,100,100.5329133,101.0516571,101.3700447,101.6958626,101.923633,102.0132468,101.9997779,101.9561041,101.9040483
동대문구,76.77891044,76.16734174,75.52344651,75.11920287,74.96585088,74.57297143,74.78738464,74.65131292,74.25114853,73.93258774,73.80141118,74.14661953,74.29157692,74.37094512,74.9310259,75.34452158,75.58766744,75.6959762,75.68240953,75.56815968,75.4721783,75.46376289,75.61012682,75.76228408,75.92771964,75.94000764,76.0081036,76.22210503,76.71741055,77.16147479,77.5601012,78.13437666,78.93733606,79.55196454,80.63180482,81.70364144,82.39366806,82.93150534,82.93476135,82.99646515,83.01844095,83.13278267,83.23322895,83.31991777,83.4974754,83.73725017,83.91812264,84.4374183,84.8105113,84.91936037,84.93800096,84.92363094,84.95508121,85.22852299,85.6759681,86.19996969,86.47608119,86.72598485,86.85930396,86.94814788,87.12348976,87.2646597,87.56275388,88.04602589,88.46783315,88.87836441,89.22028281,89.77426872,90.37672652,91.29275023,92.58163788,93.32529796,93.54309122,93.34946918,93.00789904,92.75957001,92.27017415,91.97256192,91.82799069,91.65401473,91.59915204,91.71573372,91.87890011,92.33405216,92.84054563,93.51875453,93.87046183,94.18143801,94.40907323,94.44990657,94.33844477,94.54151371,95.73543824,96.33398445,96.82779357,96.96505846,97.06164054,97.4159619,97.77108865,98.57239093,98.97760033,99.25842045,99.5276586,100,100.5190034,101.1444933,101.7740708,102.2302544,102.4223168,102.5415845,102.516813,102.4747139,102.4151081
중랑구,84.8140548,84.16824536,83.78637432,83.16741749,83.04387018,82.93619871,83.44287754,83.30134246,83.02696922,82.92093824,83.1153994,83.47610766,83.57904195,83.26971864,83.37990305,83.42512879,83.64169251,83.85221784,83.66252657,83.56223277,83.41860245,83.32650234,83.3918446,83.45799222,83.54531045,83.58089751,83.62486628,83.73619934,83.85830644,83.99090148,84.19614136,84.41730372,84.78426842,85.10341607,85.51542751,86.15966619,87.01638179,87.48995662,87.61558317,87.70859189,87.71553178,87.75208106,87.83890728,87.87663566,87.9046627,88.0181045,88.12970413,88.34628716,88.63688582,88.70664938,88.69871492,88.69896732,88.71899182,88.83212629,89.10316479,89.39655879,89.65079409,89.90435128,89.92960971,90.03518391,90.19564778,90.30245671,90.48631479,90.73923788,91.03663492,91.16300932,91.45642603,91.85300342,92.33858776,92.66000076,93.64634145,94.14886658,94.27199541,94.25345872,94.12504582,93.98737666,93.80803684,93.6638046,93.59965875,93.53663585,93.48376158,93.52965863,93.62275285,93.91691221,94.27691299,94.52326983,94.7132128,94.88188492,95.05683203,95.1593363,95.17787453,95.22970042,96.10130092,96.71583018,97.20172994,97.38668766,97.6129236,97.8220077,98.15687712,98.58298201,98.94223145,99.25235542,99.49450466,100,100.8091495,101.7739118,102.5530788,102.9800425,103.3677261,103.5576207,103.6076727,103.6331249,103.5730809
성북구,79.30676282,79.30676282,79.25613848,78.8420805,78.36250375,77.87129004,77.5237557,77.13568764,76.8020751,76.53175544,76.52773297,76.65797725,76.77092287,76.94308549,77.05437579,77.10224898,77.38217418,77.48841396,77.42432207,77.32670471,77.24514249,77.32389508,77.46994609,77.59805962,77.67581433,77.74522733,77.79899207,77.9007779,78.020247,78.25721721,78.62920673,79.00161607,79.3353946,79.69820081,80.14134529,80.74156599,81.4183416,81.7611346,81.78238326,81.78238326,81.78238326,81.78368213,81.903432,82.11018869,82.38059857,82.7262024,83.09541985,83.52104782,83.87170793,84.15321097,84.31800368,84.32006005,84.31778341,84.29511961,84.31333342,84.54122997,84.75090209,85.17476723,85.3798818,85.62107472,85.84176498,86.0791843,86.47481614,87.48560516,88.77356368,89.31640115,90.00558548,90.57538452,91.03289058,91.66275894,92.91982636,93.45802642,93.74278413,93.72585884,93.58008574,93.44338244,93.31596818,93.10361712,93.01727664,92.92281898,92.90155853,92.96825319,93.11143646,93.42985136,93.89677733,94.36737403,94.77241417,94.93755882,95.24254536,95.20364546,95.10219783,95.14257393,96.05915582,96.68755385,97.03614079,97.13024814,97.32325964,97.52883691,97.76923829,98.17208667,98.51772268,98.85715521,99.21064762,100,100.6706821,101.5212691,102.3431324,103.2907254,104.0520788,104.2400905,104.1523932,103.8540352,103.7067092
