단지명,전용면적(㎡),계약년월,거래금액(만원),층_x,보증금(만원),층_y,건축년도_y,도로명_y,전세가율
서정스마트빌듀오2차,20.246,202102,6000,6,8000,13,2016,정암로 45,1.333333333
서정스마트빌듀오1차,25.06,202102,7000,3,8000,5,2016,정암로 42,1.142857143
서정벨루스하임,26.37,202002,7400,6,8000,3,2016,탄현로 88,1.081081081
스마트빌듀오2차,23.63,202102,4700,6,5000,9,2014,여술로 7,1.063829787
서정스마트빌듀오2차,20.246,202002,6150,14,6500,7,2016,정암로 45,1.056910569
이충동부영(3차),49.98,202102,10900,7,11500,4,1996,이충로 93-20,1.055045872
동성한아름,72.48,202102,15500,2,16000,9,1994,문화촌로 10,1.032258065
부영1,49.98,202002,8500,2,8500,5,1996,세교공원로 66,1
현대(824-5),84.726,202102,17500,7,17000,12,2002,안현로서6길 95,0.971428571
SR친오애,55.2406,202102,9300,4,9000,12,2004,서동대로 784,0.967741935
신명보람,59.97,202102,12500,5,12000,16,1995,평택1로 109,0.96
시대한우리,49.585,202102,10500,12,10000,10,1995,문화촌로 33,0.952380952
건영(지산),53.58,202002,9500,4,9000,9,1993,지산2로 50,0.947368421
이충동부영(3차),49.98,202002,8500,7,8000,5,1996,이충로 93-20,0.941176471
건영(지산),53.58,202102,10800,4,10000,8,1993,지산2로 50,0.925925926
현대(지산),59.94,202002,9400,8,8700,3,1992,송탄공원로 135,0.925531915
이충동부영(3차),59.94,202102,13000,8,12000,8,1996,이충로 93-20,0.923076923
태평,59.91,202102,13000,8,12000,9,1994,서동대로 2651,0.923076923
영광,59.94,202102,12000,4,11000,12,1997,서정로 165,0.916666667
늘푸른사랑마을,59.755,202102,12600,9,11500,9,1999,안현로서7길 79,0.912698413
우성,59.85,202102,14300,2,13000,4,1992,지산2로 30,0.909090909
용이반도유보라,84.7948,202102,32000,9,29000,10,2010,현신7길 43,0.90625
현대(824-5),84.726,202002,16700,15,15000,5,2002,안현로서6길 95,0.898203593
성원,59.5159,202002,14000,9,12500,5,2002,현화중앙길 53,0.892857143
부영사랑으로2단지,59.9605,202102,12950,9,11500,9,2011,277,0.888030888
평택영화블렌하임,59.68,202102,16900,8,15000,6,2008,궁2길 37-24,0.887573964
모아미래도1차,59.9717,202102,14200,9,12500,11,2006,여술로 74,0.88028169
포승삼부르네상스1단지,59.9642,202002,12500,8,11000,6,2005,포승공단순환로 403,0.88
태영청솔,59.915,202102,17300,9,15000,8,1996,세교공원로 65,0.867052023
동신행복마을,84.963,202002,16150,6,14000,16,2003,안현로서7길 88,0.866873065
한빛,90.81,202002,18500,1,16000,6,1997,평남로 737,0.864864865
태영청솔,59.915,202002,13000,8,11200,14,1996,세교공원로 65,0.861538462
모아미래도2차,59.9717,202102,14700,9,12500,5,2005,여술로44번길 17,0.850340136
평택지제역동문굿모닝힐맘시티4단지,59.7056,202002,20000,10,17000,21,2019,신촌5로 56,0.85
미주3(이충),84.97,202102,17500,4,14700,8,1996,이충로 60,0.84
서재자이,59.53,202102,25000,7,21000,13,2014,서재로 36,0.84
건영캐스빌,84.95,202002,18000,9,15000,5,2005,안현로서9길 164-9,0.833333333
롯데인벤스스카이,141.289,202102,48000,28,40000,13,2008,평택로 17,0.833333333
삼성,76.26,202002,12000,4,10000,6,1993,평남로 281,0.833333333
서재자이,74.55,202102,30000,21,25000,4,2014,서재로 36,0.833333333
평택청북이안아파트,84.9826,202102,18000,14,15000,2,2011,91,0.833333333
