단지명,전용면적(㎡),계약년월,거래금액(만원),층_x,보증금(만원),층_y,건축년도_y,도로명_y,전세가율
동우자인채센트럴,17.18,202106,10000,5,7500,9,2018,평택1로20번길 11,0.75
라페온빌II,18.27,202101,8200,12,8190,10,2017,평택로64번길 21-6,0.998780488
라페온빌II,18.27,202105,8500,9,7100,5,2017,평택로64번길 21-6,0.835294118
라페온빌II,27.54,202106,8800,6,11000,14,2017,평택로64번길 21-6,1.25
롯데인벤스스카이,121.915,202101,39500,13,29000,17,2008,평택로 17,0.734177215
롯데인벤스스카이,141.289,202101,46000,10,35000,2,2008,평택로 17,0.760869565
롯데인벤스스카이,84.934,202101,33800,24,29000,7,2008,평택로 17,0.857988166
롯데인벤스스카이,141.289,202102,48000,28,40000,13,2008,평택로 17,0.833333333
롯데인벤스스카이,84.934,202104,35000,26,4500,15,2008,평택로 17,0.128571429
롯데인벤스스카이,141.289,202106,49000,8,38000,2,2008,평택로 17,0.775510204
세문,58.59,202103,10900,13,9000,13,1994,원평로 22,0.825688073
어반스페이스(UrbanSpace),17.63,202104,9800,7,8500,8,2018,평택로39번길 5,0.867346939
평택역코아루두드림,19.92,202103,8300,6,7350,13,2019,평택1로12번길 35,0.885542169
