,단지명,전용면적(㎡),계약년월,거래금액(만원),층,건축년도,도로명
16,동우자인채센트럴,17.18,202104,         8000,15,2018,평택1로20번길 11
17,동우자인채센트럴,17.18,202106,        10000,5,2018,평택1로20번길 11
18,라페온빌1차,36.34,202103,        13000,15,2016,평택로32번길 24
19,라페온빌1차,19.44,202103,         8500,11,2016,평택로32번길 24
20,라페온빌1차,20.01,202104,         8500,6,2016,평택로32번길 24
21,라페온빌1차,19.44,202104,         7500,12,2016,평택로32번길 24
22,라페온빌1차,19.44,202106,         8500,11,2016,평택로32번길 24
23,라페온빌II,18.27,202101,         8200,12,2017,평택로64번길 21-6
24,라페온빌II,18.27,202105,         8500,6,2017,평택로64번길 21-6
25,라페온빌II,18.27,202105,         8500,6,2017,평택로64번길 21-6
26,라페온빌II,18.27,202105,         8000,9,2017,평택로64번길 21-6
27,라페온빌II,27.54,202106,         8800,6,2017,평택로64번길 21-6
28,라페온빌II,18.27,202106,         6500,12,2017,평택로64번길 21-6
29,롯데인벤스스카이,121.915,202101,        39500,13,2008,평택로 17
30,롯데인벤스스카이,84.933,202101,        28500,3,2008,평택로 17
31,롯데인벤스스카이,141.289,202101,        46000,10,2008,평택로 17
32,롯데인벤스스카이,84.934,202101,        33800,24,2008,평택로 17
33,롯데인벤스스카이,84.934,202101,        33000,18,2008,평택로 17
34,롯데인벤스스카이,84.934,202102,        33500,22,2008,평택로 17
35,롯데인벤스스카이,84.952,202102,        34300,13,2008,평택로 17
36,롯데인벤스스카이,141.289,202102,        45000,13,2008,평택로 17
37,롯데인벤스스카이,84.934,202102,        33500,24,2008,평택로 17
38,롯데인벤스스카이,121.915,202102,        42000,25,2008,평택로 17
39,롯데인벤스스카이,141.289,202102,        48000,28,2008,평택로 17
40,롯데인벤스스카이,84.934,202103,        35500,16,2008,평택로 17
41,롯데인벤스스카이,141.289,202103,        49000,11,2008,평택로 17
42,롯데인벤스스카이,84.934,202103,        33000,24,2008,평택로 17
43,롯데인벤스스카이,141.289,202103,        46000,23,2008,평택로 17
44,롯데인벤스스카이,141.289,202103,        49000,26,2008,평택로 17
45,롯데인벤스스카이,121.915,202104,        44500,14,2008,평택로 17
46,롯데인벤스스카이,84.952,202104,        37000,13,2008,평택로 17
47,롯데인벤스스카이,141.289,202104,        49000,22,2008,평택로 17
48,롯데인벤스스카이,84.934,202104,        35000,26,2008,평택로 17
49,롯데인벤스스카이,84.952,202104,        34300,13,2008,평택로 17
50,롯데인벤스스카이,141.289,202105,        48500,13,2008,평택로 17
51,롯데인벤스스카이,141.289,202105,        52000,25,2008,평택로 17
52,롯데인벤스스카이,121.915,202105,        43000,15,2008,평택로 17
53,롯데인벤스스카이,84.952,202106,        35000,9,2008,평택로 17
54,롯데인벤스스카이,84.934,202106,        38500,21,2008,평택로 17
55,롯데인벤스스카이,141.289,202106,        49000,8,2008,평택로 17
56,베스트빌,25.2,202102,         8500,10,2015,평택로28번길 12
57,새시장B,72.9,202103,         5900,5,1989,자유로7번길 10-1
58,성신,42.6,202105,         4500,2,1988,원평로75번길 15
59,성신,40.5,202106,         5250,4,1988,원평로75번길 15
60,성신,40.5,202106,         5250,4,1988,원평로75번길 15
61,세문,58.59,202103,        10900,13,1994,원평로 22
62,세문,59.31,202104,        11800,9,1994,원평로 22
63,세문,67.5,202106,        12000,5,1994,원평로 22
64,세문,58.59,202106,        13800,6,1994,원평로 22
65,세문,58.05,202106,        10000,9,1994,원평로 22
66,세문,59.31,202106,        12000,6,1994,원평로 22
67,어반스페이스(UrbanSpace),17.63,202104,         9800,7,2018,평택로39번길 5
68,퍼스트시티,21.141,202105,         9000,7,2018,평택로28번길 24
69,퍼스트시티,21.141,202105,         9000,10,2018,평택로28번길 24
70,평택역코아루두드림,19.92,202102,         9000,13,2019,평택1로12번길 35
71,평택역코아루두드림,19.92,202103,         8300,6,2019,평택1로12번길 35
72,평택역코아루두드림,20.03,202105,         9500,13,2019,평택1로12번길 35
